name,Famous_for,Address,Hear_the_story,latitude,longitude,DIID
Blenheim Palace,temp,temp,temp,51.84157047,-1.360993459,temp
Boughton House,temp,temp,temp,52.58475556,-0.682327134,temp
Castle Howard,temp,temp,temp,54.12476722,-0.91523026,temp
Chatsworth House,temp,temp,temp,53.228184,-1.611523,temp
Christ Church - Spitalfield,temp,temp,temp,51.51964906,-0.073982844,temp
Dyrham Park,temp,temp,temp,51.48024791,-2.373250617,temp
Old Royal Naval College,temp,temp,temp,51.48340632,-0.005926131,temp
Petworth House,temp,temp,temp,50.988133,-0.611358,temp
St Anne's Limehouse,temp,temp,temp,51.51187893,-0.030579331,temp
St Paul's Cathedral,temp,temp,temp,51.51403223,-0.098350602,temp
Seaton Delaval Hall,temp,temp,temp,55.10184518,-1.497967017,temp
Hampton Court Palace,temp,temp,temp,51.40381357,-0.337730115,temp
